name,Price
Snake gourd,Rs220
Coriander,Rs40
Long Raddish,Rs125
Cauliflower,Rs415
Dry Red Chilli,Rs750
Zucchini,Rs250
Parsley,Rs138
Yellow Zucchini,Rs300
Kiri Ala,Rs112
Tibbatu,Rs175
Paradise Oyster Mushrooms - 200.00 g,Rs200
Red Chilli,Rs925
Manioc,Rs82
Kang Kung,Rs70
Spring Onion,Rs115
Celery,Rs56
Potato,Rs65
Luffa,Rs232
Leek,Rs
Beetroot,Rs80
Bitter gourd,Rs108
Brinjal,Rs
Lettuce,Rs120
Thalana Batu,Rs120
Red cabbage,Rs400
Polos,Rs200
Spinach,Rs160
Banana Blossom,Rs
Curry banana,Rs45
Long beans,Rs115
Chinese Cabbage,Rs265
Nai Miris,Rs160
Knol Khol,Rs
Garlic,Rs80
Curry mango,Rs
Ladies fingers,Rs85
Mint,Rs
Tomato Big,Rs70
Broccoli,Rs550
Red onion,Rs118
Onion Big,Rs45
Sweet Potato,Rs130
Carrot,Rs192
Bell Pepper,Rs
Green Chillie,Rs80
Lemon,Rs45
My Choice Tamarind - 100.00 g,Rs120
Japanese Cucumber,Rs80
Green beens,Rs175
Bell pepper -yellow,"Rs1,050"
Raddish,Rs100
Kakiri,Rs145
Bell pepper Red,Rs925
Lime,Rs48
Capsicum,Rs225
Potato- Big (Local),Rs90
Cabbage,Rs180
Ginger,Rs155
Batana,Rs
Bok Choy / Pak Choi,Rs175
Spine Gourd,Rs
Cabbage Leaves,Rs168
Pumpkin,Rs75
Dambala,Rs
Coconut - 3 Pcs,Rs588
Cucumber,Rs
Dandila Ala,Rs300
